click_id,click_location,click_type,click_object,click_date_time
712cf337-45bf-43e5-b4d5-e05fbc632a74,all_texts,text_id_selected,link,2021-11-03 16:59:16.218330
ba11baf3-71b7-4756-ac11-480c4af158ba,label,label_selected,radio_button,2021-11-03 16:59:17.785257
3f896132-a886-421a-8eba-7aa37748d715,similar_texts,group_label_assigned,button,2021-11-03 16:59:19.280163
b500cf7c-e213-4a55-9295-46adcd529435,all_texts,text_id_selected,link,2021-11-03 16:59:22.859987
7041c1bd-4087-4e29-beca-90299136dbe2,label,label_selected,radio_button,2021-11-03 16:59:23.885316
f6e67ea8-2c80-4c85-ae16-d5d898f7a534,similar_texts,group_label_assigned,button,2021-11-03 16:59:24.867581
5aa7f17f-2dbf-462a-8183-9c251fd2f077,all_texts,text_id_selected,link,2021-11-03 16:59:29.594383
5e3af85c-7b1c-4864-8c0b-f3a253e5c333,label,label_selected,radio_button,2021-11-03 16:59:30.640531
9c797d65-433c-4716-a55a-98457b3da169,similar_texts,group_label_assigned,button,2021-11-03 16:59:31.995173
0e8fd46a-1b0e-46fb-ab8a-dccd061adab6,all_texts,text_id_selected,link,2021-11-03 16:59:34.875452
a02d0e00-b384-4e6b-8ec2-64d521ab02d9,label,label_selected,radio_button,2021-11-03 16:59:35.927246
3c098a9b-3f9b-450d-b233-0955e9e8840e,similar_texts,group_label_assigned,button,2021-11-03 16:59:37.492751
1a78dd5d-fa28-4e7c-89e6-c2505416c814,all_texts,text_id_selected,link,2021-11-03 16:59:40.286387
e288fd81-eac8-49f0-9a0f-0385992b255c,all_texts,text_id_selected,link,2021-11-03 16:59:42.987905
629f6630-23dc-4517-be45-28c78879a106,similar_texts,group_label_assigned,button,2021-11-03 16:59:44.328058
17bbe385-b190-4d93-8601-10869ee49c2e,all_texts,text_id_selected,link,2021-11-03 16:59:48.932113
77bb1747-2657-44fc-84ea-14d98b7ac2d0,label,label_selected,radio_button,2021-11-03 16:59:50.075001
c6eb70f7-4ae1-4dc5-ab48-9be62bd44c3f,similar_texts,group_label_assigned,button,2021-11-03 16:59:51.405690
1c658a32-5558-44a0-af8e-3e20d005f595,all_texts,text_id_selected,link,2021-11-03 16:59:54.306428
8dc2a206-d443-45c8-b738-4504f7ba8867,similar_texts,group_label_assigned,button,2021-11-03 16:59:56.140246
3ee9dec0-b2ed-4a7e-bf26-862bc04300ef,all_texts,text_id_selected,link,2021-11-03 16:59:57.937694
8fef882c-9e41-4faf-b87c-a46c6b9778c2,label,label_selected,radio_button,2021-11-03 16:59:59.017426
779598ac-3c64-49cc-a635-e8581e653088,similar_texts,group_label_assigned,button,2021-11-03 17:00:00.035864
7cb33701-0978-4043-87ab-e11dac98fe44,all_texts,text_id_selected,link,2021-11-03 17:00:01.937799
006af0f1-5346-4cfd-82c7-55fbd4b10291,label,label_selected,radio_button,2021-11-03 17:00:02.943155
467924e5-c12e-4696-9a9e-02ec564f93b5,similar_texts,group_label_assigned,button,2021-11-03 17:00:04.175006
4d816682-e514-4adc-8614-29f7423d7245,difficult_texts,generate_list,button,2021-11-03 17:00:07.079766
956fdbdf-653d-4de9-8fc4-08eeb1fc6c22,all_texts,search_texts,button,2021-11-03 17:00:33.163618
8e66023a-aad1-41e2-81d4-e9b70c264ff0,label,label_selected,radio_button,2021-11-03 17:01:03.142416
b133f084-8a12-48ad-80da-38802e6e7838,all_texts,group_label_assigned,button,2021-11-03 17:01:04.704778
147ac211-74fc-49b9-8b3b-a6907f80842b,all_texts,search_texts,button,2021-11-03 17:01:19.803064
1c55c7c0-576c-4657-8ae3-04939ca7fb97,all_texts,search_texts,button,2021-11-03 17:01:42.251404
436671b2-3dad-4166-8f4b-2c184ae5b8e5,label,label_selected,radio_button,2021-11-03 17:01:45.461015
68606d11-dc9b-434b-8814-cedaabd5c65c,all_texts,group_label_assigned,button,2021-11-03 17:01:48.025604
5df954e7-3b2f-46c4-8e5a-777c281c5bd9,all_texts,search_texts,button,2021-11-03 17:01:56.066809
49b19aff-27f4-456c-9cd3-874f01aa4541,label,label_selected,radio_button,2021-11-03 17:01:57.470935
37739946-7922-4edd-a0bf-535b635f0e1d,all_texts,group_label_assigned,button,2021-11-03 17:01:59.519286
8d84dfcf-d89c-4ea8-95f5-56f203501b60,label,label_selected,radio_button,2021-11-03 17:02:07.394710
2fa8fada-464a-48b0-a6a0-e60652b4c727,all_texts,group_label_assigned,button,2021-11-03 17:02:08.942491
f72fbb7a-092b-42fb-b6d4-29a69d371987,all_texts,search_texts,button,2021-11-03 17:02:14.354874
9a18ae64-c439-4678-a1af-b6a806a00c85,label,label_selected,radio_button,2021-11-03 17:02:15.799801
c3f47aa2-915c-46fc-a951-ebdbe4a4ce18,all_texts,group_label_assigned,button,2021-11-03 17:02:17.138837
fef1c46f-b77d-4a7a-b82d-7a2c35e20220,difficult_texts,generate_list,button,2021-11-03 17:02:20.112690
737897d5-fc0f-4130-9400-f147063c059e,all_texts,search_texts,button,2021-11-03 17:02:48.402398
95940bc5-20e3-42ae-a558-4bd7bf526395,label,label_selected,radio_button,2021-11-03 17:02:50.460952
5faba31c-2e27-404b-ac42-d1895575811c,all_texts,group_label_assigned,button,2021-11-03 17:02:51.576434
41ea22ff-6dc3-4c25-a366-d705d86b1f83,difficult_texts,generate_list,button,2021-11-03 17:02:53.263970
803a1e78-9a1a-4b46-abb4-dc86f25812ac,all_texts,search_texts,button,2021-11-03 17:03:23.403215
b6413eaa-3940-4a6b-959b-9e48aa4666b8,all_texts,group_label_assigned,button,2021-11-03 17:03:26.160928
01fd59d8-1ab9-4512-9045-b9fef2d55e9c,difficult_texts,generate_list,button,2021-11-03 17:03:30.875281
a7cb9430-3596-4d69-83b6-13e31280d262,difficult_texts,group_label_assigned,button,2021-11-03 17:03:56.682039
cf845dcd-429c-45dd-a639-8dbe24612d64,difficult_texts,group_label_assigned,button,2021-11-03 17:03:59.558892
71a7f317-6d66-451c-81bf-2931c06f338e,difficult_texts,group_label_assigned,button,2021-11-03 17:04:01.287621
fb18e283-bbb9-40a6-9b4c-93afcdf7d167,label,label_selected,radio_button,2021-11-03 17:04:12.985355
f45395f2-2eda-4529-a5e1-9663762d2df7,all_texts,search_texts,button,2021-11-03 17:04:24.805976
6891a074-8213-46b3-b6c9-4b1ec0b4f956,all_texts,group_label_assigned,button,2021-11-03 17:04:27.878036
ba5470a0-e5c1-4224-87f8-16ff34bfaa34,difficult_texts,generate_list,button,2021-11-03 17:04:39.845407
ffa8f14e-bd37-4ff9-ab08-a33fdda1f727,difficult_texts,group_label_assigned,button,2021-11-03 17:04:45.666860
f79ac506-08a4-4042-a30b-05e09a17ed7d,all_texts,search_texts,button,2021-11-03 17:05:09.796210
d7d236fe-5e37-4efa-a0db-1eab179b117a,label,label_selected,radio_button,2021-11-03 17:05:11.884091
9d1e2a20-329a-4ea1-860d-cead3b609b43,all_texts,group_label_assigned,button,2021-11-03 17:05:14.786515
373996a8-f696-4ade-aa1e-eae44ded493f,difficult_texts,generate_list,button,2021-11-03 17:05:19.334186
3ec2697a-d753-4480-9a0b-a905c80d2efc,summary,export_records,button,2021-11-03 17:05:37.521248
